[INFO ] 2016-02-02 06:54:26,978 -- WorkingPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\
[INFO ] 2016-02-02 06:54:26,996 -- Your original rating data path: C:\Users\irecs\Desktop\Data\music\ratings.txt
[INFO ] 2016-02-02 06:54:26,997 -- Current working path: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\
[WARN ] 2016-02-02 06:54:27,007 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2016-02-02 06:54:27,731 -- Data transformaton completed (from Compact to Binary format). See new rating file: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:27,760 -- Dataset: ...ARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:27,765 -- DataPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,354 -- Rating data set has been successfully loaded.
[INFO ] 2016-02-02 06:54:28,371 -- 
/***************************************************************************************************************************************************
 *
 * Dataset: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
 * User amount: 42
 * Item amount: 139
 * Rate amount: 3938
 * Context dimensions: 8 (drivingstyle, landscape, mood, naturalphenomena, roadtype, sleepiness, trafficconditions, weather)
 * Context conditions: 34 (drivingstyle: 3, landscape: 5, mood: 5, naturalphenomena: 5, roadtype: 4, sleepiness: 3, trafficconditions: 4, weather: 5)
 * Context situations: 27
 * Contextual Data density: 8.0978%
 * Scale distribution: [0.0 x 122, 3.0 x 652, 2.0 x 705, 1.0 x 1452, 4.0 x 513, 5.0 x 494]
 * 
 * Average value of all ratings: 2.447647
 * Standard deviation of all ratings: 1.474440
 * Mode of all rating values: 1.000000
 * Median of all rating values: 2.000000
 *
 ***************************************************************************************************************************************************/
[INFO ] 2016-02-02 06:54:28,372 -- Dataset: ...ARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,372 -- DataPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,630 -- Rating data set has been successfully loaded.
[INFO ] 2016-02-02 06:54:28,633 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2016-02-02 06:54:28,728 -- Fold [1]: training amount: 3029, test amount: 753
[DEBUG] 2016-02-02 06:54:28,751 -- Fold [2]: training amount: 3025, test amount: 757
[DEBUG] 2016-02-02 06:54:28,764 -- Fold [3]: training amount: 3023, test amount: 759
[DEBUG] 2016-02-02 06:54:28,781 -- Fold [4]: training amount: 3025, test amount: 757
[DEBUG] 2016-02-02 06:54:28,797 -- Fold [5]: training amount: 3026, test amount: 756
[DEBUG] 2016-02-02 06:54:29,077 -- CAMF_C fold [5] iter 7: loss = 3360.7927, delta_loss = 6.4845284E-4, learn_rate = 2.5525632E-10
[DEBUG] 2016-02-02 06:54:29,077 -- CAMF_C fold [2] iter 5: loss = 3378.746, delta_loss = 0.001676293, learn_rate = 2.3152501E-10
[DEBUG] 2016-02-02 06:54:29,080 -- CAMF_C fold [4] iter 3: loss = 3122.145, delta_loss = 2.8786659E-5, learn_rate = 2.1E-10
[DEBUG] 2016-02-02 06:54:29,084 -- CAMF_C fold [2] iter 6: loss = 3378.7444, delta_loss = 0.0017600913, learn_rate = 2.4310126E-10
[DEBUG] 2016-02-02 06:54:29,084 -- CAMF_C fold [5] iter 8: loss = 3360.792, delta_loss = 6.808689E-4, learn_rate = 2.6801913E-10
[DEBUG] 2016-02-02 06:54:29,085 -- CAMF_C fold [4] iter 4: loss = 3122.145, delta_loss = 3.022595E-5, learn_rate = 2.2050001E-10
[DEBUG] 2016-02-02 06:54:29,090 -- CAMF_C fold [5] iter 9: loss = 3360.7913, delta_loss = 7.1490515E-4, learn_rate = 2.8142008E-10
[DEBUG] 2016-02-02 06:54:29,091 -- CAMF_C fold [2] iter 7: loss = 3378.7424, delta_loss = 0.0018480781, learn_rate = 2.5525632E-10
[DEBUG] 2016-02-02 06:54:29,092 -- CAMF_C fold [4] iter 5: loss = 3122.1448, delta_loss = 3.173727E-5, learn_rate = 2.3152501E-10
[DEBUG] 2016-02-02 06:54:29,126 -- CAMF_C fold [1] iter 1: loss = 3295.726, delta_loss = -3295.726, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:29,137 -- CAMF_C fold [1] iter 2: loss = 3295.7246, delta_loss = 0.001386051, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:29,139 -- CAMF_C fold [3] iter 6: loss = 3178.8164, delta_loss = 4.2936143E-5, learn_rate = 2.4310126E-10
[DEBUG] 2016-02-02 06:54:29,143 -- CAMF_C fold [1] iter 3: loss = 3295.7231, delta_loss = 0.0014203662, learn_rate = 2.1E-10
[DEBUG] 2016-02-02 06:54:29,145 -- CAMF_C fold [4] iter 6: loss = 3122.1448, delta_loss = 3.3324075E-5, learn_rate = 2.4310126E-10
[DEBUG] 2016-02-02 06:54:29,146 -- CAMF_C fold [3] iter 7: loss = 3178.8164, delta_loss = 4.508272E-5, learn_rate = 2.5525632E-10
[DEBUG] 2016-02-02 06:54:29,149 -- CAMF_C fold [1] iter 4: loss = 3295.7217, delta_loss = 0.0014913721, learn_rate = 2.2050001E-10
[DEBUG] 2016-02-02 06:54:29,150 -- CAMF_C fold [2] iter 8: loss = 3378.7405, delta_loss = 0.0019404624, learn_rate = 2.6801913E-10
[DEBUG] 2016-02-02 06:54:29,151 -- CAMF_C fold [3] iter 8: loss = 3178.8164, delta_loss = 4.733679E-5, learn_rate = 2.6801913E-10
[DEBUG] 2016-02-02 06:54:29,156 -- CAMF_C fold [1] iter 5: loss = 3295.7202, delta_loss = 0.0015659268, learn_rate = 2.3152501E-10
[DEBUG] 2016-02-02 06:54:29,156 -- CAMF_C fold [2] iter 9: loss = 3378.7385, delta_loss = 0.002037464, learn_rate = 2.8142008E-10
[DEBUG] 2016-02-02 06:54:29,157 -- CAMF_C fold [3] iter 9: loss = 3178.8162, delta_loss = 4.970341E-5, learn_rate = 2.8142008E-10
[DEBUG] 2016-02-02 06:54:29,162 -- CAMF_C fold [2] iter 10: loss = 3378.7363, delta_loss = 0.0021393131, learn_rate = 2.954911E-10
[DEBUG] 2016-02-02 06:54:29,162 -- CAMF_C fold [5] iter 10: loss = 3360.7905, delta_loss = 7.506423E-4, learn_rate = 2.954911E-10
[DEBUG] 2016-02-02 06:54:29,213 -- CAMF_C fold [1] iter 6: loss = 3295.7185, delta_loss = 0.001644208, learn_rate = 2.4310126E-10
[DEBUG] 2016-02-02 06:54:29,220 -- CAMF_C fold [4] iter 7: loss = 3122.1448, delta_loss = 3.499031E-5, learn_rate = 2.5525632E-10
[DEBUG] 2016-02-02 06:54:29,222 -- CAMF_C fold [5] iter 11: loss = 3360.7898, delta_loss = 7.881656E-4, learn_rate = 3.1026565E-10
[DEBUG] 2016-02-02 06:54:29,222 -- CAMF_C fold [3] iter 10: loss = 3178.8162, delta_loss = 5.2188418E-5, learn_rate = 2.954911E-10
[DEBUG] 2016-02-02 06:54:29,222 -- CAMF_C fold [1] iter 7: loss = 3295.7168, delta_loss = 0.0017264015, learn_rate = 2.5525632E-10
[DEBUG] 2016-02-02 06:54:29,227 -- CAMF_C fold [5] iter 12: loss = 3360.7888, delta_loss = 8.275643E-4, learn_rate = 3.2577893E-10
[DEBUG] 2016-02-02 06:54:29,227 -- CAMF_C fold [3] iter 11: loss = 3178.8162, delta_loss = 5.4797616E-5, learn_rate = 3.1026565E-10
[DEBUG] 2016-02-02 06:54:29,228 -- CAMF_C fold [1] iter 8: loss = 3295.715, delta_loss = 0.0018127031, learn_rate = 2.6801913E-10
[DEBUG] 2016-02-02 06:54:29,228 -- CAMF_C fold [4] iter 8: loss = 3122.1448, delta_loss = 3.6739766E-5, learn_rate = 2.6801913E-10
[DEBUG] 2016-02-02 06:54:29,233 -- CAMF_C fold [5] iter 13: loss = 3360.788, delta_loss = 8.6893153E-4, learn_rate = 3.4206787E-10
[DEBUG] 2016-02-02 06:54:29,233 -- CAMF_C fold [1] iter 9: loss = 3295.7131, delta_loss = 0.0019033178, learn_rate = 2.8142008E-10
[DEBUG] 2016-02-02 06:54:29,233 -- CAMF_C fold [4] iter 9: loss = 3122.1448, delta_loss = 3.857672E-5, learn_rate = 2.8142008E-10
[DEBUG] 2016-02-02 06:54:29,222 -- CAMF_C fold [2] iter 11: loss = 3378.7341, delta_loss = 0.0022462525, learn_rate = 3.1026565E-10
[DEBUG] 2016-02-02 06:54:29,239 -- CAMF_C fold [5] iter 14: loss = 3360.787, delta_loss = 9.1236626E-4, learn_rate = 3.5917128E-10
[DEBUG] 2016-02-02 06:54:29,240 -- CAMF_C fold [2] iter 12: loss = 3378.7317, delta_loss = 0.0023585362, learn_rate = 3.2577893E-10
[DEBUG] 2016-02-02 06:54:29,240 -- CAMF_C fold [4] iter 10: loss = 3122.1448, delta_loss = 4.050549E-5, learn_rate = 2.954911E-10
[DEBUG] 2016-02-02 06:54:29,241 -- CAMF_C fold [1] iter 10: loss = 3295.7112, delta_loss = 0.001998461, learn_rate = 2.954911E-10
[DEBUG] 2016-02-02 06:54:29,248 -- CAMF_C fold [2] iter 13: loss = 3378.7292, delta_loss = 0.002476431, learn_rate = 3.4206787E-10
[DEBUG] 2016-02-02 06:54:29,249 -- CAMF_C fold [5] iter 15: loss = 3360.7861, delta_loss = 9.579715E-4, learn_rate = 3.7712983E-10
[DEBUG] 2016-02-02 06:54:29,249 -- CAMF_C fold [4] iter 11: loss = 3122.1445, delta_loss = 4.2530784E-5, learn_rate = 3.1026565E-10
[DEBUG] 2016-02-02 06:54:29,233 -- CAMF_C fold [3] iter 12: loss = 3178.8162, delta_loss = 5.753734E-5, learn_rate = 3.2577893E-10
[DEBUG] 2016-02-02 06:54:29,257 -- CAMF_C fold [2] iter 14: loss = 3378.7266, delta_loss = 0.0026002172, learn_rate = 3.5917128E-10
[DEBUG] 2016-02-02 06:54:29,260 -- CAMF_C fold [3] iter 13: loss = 3178.816, delta_loss = 6.041395E-5, learn_rate = 3.4206787E-10
[DEBUG] 2016-02-02 06:54:29,268 -- CAMF_C fold [3] iter 14: loss = 3178.816, delta_loss = 6.343439E-5, learn_rate = 3.5917128E-10
[DEBUG] 2016-02-02 06:54:29,273 -- CAMF_C fold [1] iter 11: loss = 3295.709, delta_loss = 0.0020983592, learn_rate = 3.1026565E-10
[DEBUG] 2016-02-02 06:54:29,283 -- CAMF_C fold [5] iter 16: loss = 3360.7852, delta_loss = 0.0010058556, learn_rate = 3.9598633E-10
[DEBUG] 2016-02-02 06:54:29,283 -- CAMF_C fold [4] iter 12: loss = 3122.1445, delta_loss = 4.4657216E-5, learn_rate = 3.2577893E-10
[DEBUG] 2016-02-02 06:54:29,283 -- CAMF_C fold [1] iter 12: loss = 3295.7068, delta_loss = 0.0022032498, learn_rate = 3.2577893E-10
[DEBUG] 2016-02-02 06:54:29,292 -- CAMF_C fold [5] iter 17: loss = 3360.7842, delta_loss = 0.0010561327, learn_rate = 4.1578563E-10
[DEBUG] 2016-02-02 06:54:29,293 -- CAMF_C fold [4] iter 13: loss = 3122.1445, delta_loss = 4.6890138E-5, learn_rate = 3.4206787E-10
[DEBUG] 2016-02-02 06:54:29,340 -- CAMF_C fold [1] iter 13: loss = 3295.7046, delta_loss = 0.002313382, learn_rate = 3.4206787E-10
[DEBUG] 2016-02-02 06:54:29,342 -- CAMF_C fold [2] iter 15: loss = 3378.7239, delta_loss = 0.0027301894, learn_rate = 3.7712983E-10
[DEBUG] 2016-02-02 06:54:29,343 -- CAMF_C fold [5] iter 18: loss = 3360.783, delta_loss = 0.0011089216, learn_rate = 4.3657492E-10
[DEBUG] 2016-02-02 06:54:29,343 -- CAMF_C fold [4] iter 14: loss = 3122.1445, delta_loss = 4.9234506E-5, learn_rate = 3.5917128E-10
[DEBUG] 2016-02-02 06:54:29,346 -- CAMF_C fold [1] iter 14: loss = 3295.7021, delta_loss = 0.0024290178, learn_rate = 3.5917128E-10
[DEBUG] 2016-02-02 06:54:29,348 -- CAMF_C fold [2] iter 16: loss = 3378.721, delta_loss = 0.0028666558, learn_rate = 3.9598633E-10
[DEBUG] 2016-02-02 06:54:29,348 -- CAMF_C fold [5] iter 19: loss = 3360.782, delta_loss = 0.0011643484, learn_rate = 4.5840368E-10
[DEBUG] 2016-02-02 06:54:29,348 -- CAMF_C fold [4] iter 15: loss = 3122.1445, delta_loss = 5.1696206E-5, learn_rate = 3.7712983E-10
[DEBUG] 2016-02-02 06:54:29,351 -- CAMF_C fold [1] iter 15: loss = 3295.6995, delta_loss = 0.002550432, learn_rate = 3.7712983E-10
[DEBUG] 2016-02-02 06:54:29,353 -- CAMF_C fold [2] iter 17: loss = 3378.718, delta_loss = 0.0030099414, learn_rate = 4.1578563E-10
[DEBUG] 2016-02-02 06:54:29,353 -- CAMF_C fold [5] iter 20: loss = 3360.7808, delta_loss = 0.0012225445, learn_rate = 4.8132387E-10
[DEBUG] 2016-02-02 06:54:29,356 -- CAMF_C fold [3] iter 15: loss = 3178.816, delta_loss = 6.66057E-5, learn_rate = 3.7712983E-10
[DEBUG] 2016-02-02 06:54:29,358 -- CAMF_C fold [1] iter 16: loss = 3295.6968, delta_loss = 0.002677913, learn_rate = 3.9598633E-10
[DEBUG] 2016-02-02 06:54:29,359 -- CAMF_C fold [5] iter 21: loss = 3360.7793, delta_loss = 0.0012836483, learn_rate = 5.0539006E-10
[DEBUG] 2016-02-02 06:54:29,360 -- CAMF_C fold [2] iter 18: loss = 3378.7148, delta_loss = 0.0031603866, learn_rate = 4.3657492E-10
[DEBUG] 2016-02-02 06:54:29,362 -- CAMF_C fold [3] iter 16: loss = 3178.816, delta_loss = 6.993571E-5, learn_rate = 3.9598633E-10
[DEBUG] 2016-02-02 06:54:29,363 -- CAMF_C fold [1] iter 17: loss = 3295.694, delta_loss = 0.0028117641, learn_rate = 4.1578563E-10
[DEBUG] 2016-02-02 06:54:29,365 -- CAMF_C fold [5] iter 22: loss = 3360.778, delta_loss = 0.0013478048, learn_rate = 5.3065957E-10
[DEBUG] 2016-02-02 06:54:29,365 -- CAMF_C fold [2] iter 19: loss = 3378.7117, delta_loss = 0.0033183484, learn_rate = 4.5840368E-10
[DEBUG] 2016-02-02 06:54:29,367 -- CAMF_C fold [3] iter 17: loss = 3178.8157, delta_loss = 7.343221E-5, learn_rate = 4.1578563E-10
[DEBUG] 2016-02-02 06:54:29,369 -- CAMF_C fold [1] iter 18: loss = 3295.6912, delta_loss = 0.0029523033, learn_rate = 4.3657492E-10
[DEBUG] 2016-02-02 06:54:29,371 -- CAMF_C fold [5] iter 23: loss = 3360.7766, delta_loss = 0.0014151664, learn_rate = 5.571925E-10
[DEBUG] 2016-02-02 06:54:29,373 -- CAMF_C fold [2] iter 20: loss = 3378.708, delta_loss = 0.0034842025, learn_rate = 4.8132387E-10
[DEBUG] 2016-02-02 06:54:29,373 -- CAMF_C fold [3] iter 18: loss = 3178.8157, delta_loss = 7.710328E-5, learn_rate = 4.3657492E-10
[DEBUG] 2016-02-02 06:54:29,373 -- CAMF_C fold [4] iter 16: loss = 3122.1443, delta_loss = 5.4280965E-5, learn_rate = 3.9598633E-10
[DEBUG] 2016-02-02 06:54:29,379 -- CAMF_C fold [3] iter 19: loss = 3178.8157, delta_loss = 8.095807E-5, learn_rate = 4.5840368E-10
[DEBUG] 2016-02-02 06:54:29,379 -- CAMF_C fold [4] iter 17: loss = 3122.1443, delta_loss = 5.6994886E-5, learn_rate = 4.1578563E-10
[DEBUG] 2016-02-02 06:54:29,384 -- CAMF_C fold [3] iter 20: loss = 3178.8154, delta_loss = 8.500553E-5, learn_rate = 4.8132387E-10
[DEBUG] 2016-02-02 06:54:29,384 -- CAMF_C fold [4] iter 18: loss = 3122.1443, delta_loss = 5.9844693E-5, learn_rate = 4.3657492E-10
[DEBUG] 2016-02-02 06:54:29,402 -- CAMF_C fold [4] iter 19: loss = 3122.1443, delta_loss = 6.283676E-5, learn_rate = 4.5840368E-10
[DEBUG] 2016-02-02 06:54:29,404 -- CAMF_C fold [5] iter 24: loss = 3360.7751, delta_loss = 0.0014858934, learn_rate = 5.850522E-10
[DEBUG] 2016-02-02 06:54:29,403 -- CAMF_C fold [1] iter 19: loss = 3295.688, delta_loss = 0.003099864, learn_rate = 4.5840368E-10
[DEBUG] 2016-02-02 06:54:29,402 -- CAMF_C fold [2] iter 21: loss = 3378.7043, delta_loss = 0.0036583429, learn_rate = 5.0539006E-10
[DEBUG] 2016-02-02 06:54:29,440 -- CAMF_C fold [5] iter 25: loss = 3360.7734, delta_loss = 0.0015601533, learn_rate = 6.143048E-10
[DEBUG] 2016-02-02 06:54:29,440 -- CAMF_C fold [2] iter 22: loss = 3378.7007, delta_loss = 0.0038411831, learn_rate = 5.3065957E-10
[DEBUG] 2016-02-02 06:54:29,440 -- CAMF_C fold [1] iter 20: loss = 3295.6848, delta_loss = 0.0032547975, learn_rate = 4.8132387E-10
[DEBUG] 2016-02-02 06:54:29,441 -- CAMF_C fold [3] iter 21: loss = 3178.8154, delta_loss = 8.925519E-5, learn_rate = 5.0539006E-10
[DEBUG] 2016-02-02 06:54:29,445 -- CAMF_C fold [5] iter 26: loss = 3360.772, delta_loss = 0.0016381226, learn_rate = 6.4502E-10
[DEBUG] 2016-02-02 06:54:29,445 -- CAMF_C fold [2] iter 23: loss = 3378.6965, delta_loss = 0.0040331576, learn_rate = 5.571925E-10
[DEBUG] 2016-02-02 06:54:29,446 -- CAMF_C fold [1] iter 21: loss = 3295.6814, delta_loss = 0.0034174714, learn_rate = 5.0539006E-10
[DEBUG] 2016-02-02 06:54:29,446 -- CAMF_C fold [3] iter 22: loss = 3178.8154, delta_loss = 9.37173E-5, learn_rate = 5.3065957E-10
[DEBUG] 2016-02-02 06:54:29,451 -- CAMF_C fold [5] iter 27: loss = 3360.7703, delta_loss = 0.0017199867, learn_rate = 6.77271E-10
[DEBUG] 2016-02-02 06:54:29,451 -- CAMF_C fold [2] iter 24: loss = 3378.6924, delta_loss = 0.004234722, learn_rate = 5.850522E-10
[DEBUG] 2016-02-02 06:54:29,451 -- CAMF_C fold [1] iter 22: loss = 3295.6777, delta_loss = 0.003588272, learn_rate = 5.3065957E-10
[DEBUG] 2016-02-02 06:54:29,457 -- CAMF_C fold [5] iter 28: loss = 3360.7683, delta_loss = 0.0018059395, learn_rate = 7.1113454E-10
[DEBUG] 2016-02-02 06:54:29,458 -- CAMF_C fold [2] iter 25: loss = 3378.6877, delta_loss = 0.0044463547, learn_rate = 6.143048E-10
[DEBUG] 2016-02-02 06:54:29,459 -- CAMF_C fold [1] iter 23: loss = 3295.6738, delta_loss = 0.0037676056, learn_rate = 5.571925E-10
[DEBUG] 2016-02-02 06:54:29,462 -- CAMF_C fold [5] iter 29: loss = 3360.7666, delta_loss = 0.0018961851, learn_rate = 7.4669126E-10
[DEBUG] 2016-02-02 06:54:29,464 -- CAMF_C fold [2] iter 26: loss = 3378.683, delta_loss = 0.004668559, learn_rate = 6.4502E-10
[DEBUG] 2016-02-02 06:54:29,465 -- CAMF_C fold [1] iter 24: loss = 3295.67, delta_loss = 0.0039558974, learn_rate = 5.850522E-10
[DEBUG] 2016-02-02 06:54:29,469 -- CAMF_C fold [3] iter 23: loss = 3178.8152, delta_loss = 9.840258E-5, learn_rate = 5.571925E-10
[DEBUG] 2016-02-02 06:54:29,440 -- CAMF_C fold [4] iter 20: loss = 3122.144, delta_loss = 6.59785E-5, learn_rate = 4.8132387E-10
[DEBUG] 2016-02-02 06:54:29,470 -- CAMF_C fold [1] iter 25: loss = 3295.6658, delta_loss = 0.004153595, learn_rate = 6.143048E-10
[DEBUG] 2016-02-02 06:54:29,476 -- CAMF_C fold [3] iter 24: loss = 3178.8152, delta_loss = 1.0332206E-4, learn_rate = 5.850522E-10
[DEBUG] 2016-02-02 06:54:29,480 -- CAMF_C fold [4] iter 21: loss = 3122.144, delta_loss = 6.927739E-5, learn_rate = 5.0539006E-10
[DEBUG] 2016-02-02 06:54:29,481 -- CAMF_C fold [3] iter 25: loss = 3178.815, delta_loss = 1.08487235E-4, learn_rate = 6.143048E-10
[DEBUG] 2016-02-02 06:54:29,486 -- CAMF_C fold [4] iter 22: loss = 3122.144, delta_loss = 7.2741095E-5, learn_rate = 5.3065957E-10
[DEBUG] 2016-02-02 06:54:29,492 -- CAMF_C fold [3] iter 26: loss = 3178.815, delta_loss = 1.1391082E-4, learn_rate = 6.4502E-10
[DEBUG] 2016-02-02 06:54:29,493 -- CAMF_C fold [4] iter 23: loss = 3122.144, delta_loss = 7.637806E-5, learn_rate = 5.571925E-10
[DEBUG] 2016-02-02 06:54:29,502 -- CAMF_C fold [4] iter 24: loss = 3122.1438, delta_loss = 8.0196834E-5, learn_rate = 5.850522E-10
[DEBUG] 2016-02-02 06:54:29,508 -- CAMF_C fold [5] iter 30: loss = 3360.7644, delta_loss = 0.001990938, learn_rate = 7.8402584E-10
[DEBUG] 2016-02-02 06:54:29,508 -- CAMF_C fold [2] iter 27: loss = 3378.6782, delta_loss = 0.0049018613, learn_rate = 6.77271E-10
[DEBUG] 2016-02-02 06:54:29,516 -- CAMF_C fold [5] iter 31: loss = 3360.7625, delta_loss = 0.0020904224, learn_rate = 8.2322715E-10
[DEBUG] 2016-02-02 06:54:29,524 -- CAMF_C fold [2] iter 28: loss = 3378.673, delta_loss = 0.0051468164, learn_rate = 7.1113454E-10
[DEBUG] 2016-02-02 06:54:29,527 -- CAMF_C fold [5] iter 32: loss = 3360.7603, delta_loss = 0.002194875, learn_rate = 8.643885E-10
[DEBUG] 2016-02-02 06:54:29,530 -- CAMF_C fold [1] iter 26: loss = 3295.6614, delta_loss = 0.0043611676, learn_rate = 6.4502E-10
[DEBUG] 2016-02-02 06:54:29,536 -- CAMF_C fold [5] iter 33: loss = 3360.7578, delta_loss = 0.0023045428, learn_rate = 9.0760793E-10
[DEBUG] 2016-02-02 06:54:29,539 -- CAMF_C fold [1] iter 27: loss = 3295.657, delta_loss = 0.0045791073, learn_rate = 6.77271E-10
[DEBUG] 2016-02-02 06:54:29,540 -- CAMF_C fold [2] iter 29: loss = 3378.6677, delta_loss = 0.005404005, learn_rate = 7.4669126E-10
