userid,itemid,rating,Time,Location,Companion
1091,tt3637328,1,NA,NA,NA
1091,tt0407304,2,NA,NA,NA
1091,tt1924435,1,NA,NA,NA
1091,tt0382625,1,NA,NA,NA
1091,tt0376541,2,NA,NA,NA
1091,tt0120338,2,NA,NA,NA
1091,tt1133985,1,NA,NA,NA
1091,tt1099212,1,NA,NA,NA
1025,tt0213149,5,NA,NA,NA
1025,tt0413267,5,NA,NA,NA
1025,tt4411490,5,NA,NA,NA
1025,tt0382625,5,NA,NA,NA
1025,tt0147800,5,NA,NA,NA
1025,tt0109830,5,NA,NA,NA
1025,tt0088763,5,NA,NA,NA
1025,tt0133093,4,NA,NA,NA
1025,tt0800369,2,NA,NA,NA
1025,ttnanana1,2,NA,NA,NA
1025,tt0211915,1,NA,NA,NA
1025,tt1707386,1,NA,NA,NA
1025,tt4052394,1,NA,NA,NA
1025,tt1055369,1,NA,NA,NA
1108,tt0181689,5,NA,NA,NA
1108,tt0356910,5,NA,NA,NA
1108,tt3254460,5,NA,NA,NA
1108,tt0319262,5,NA,NA,NA
1108,tt0266543,5,NA,NA,NA
1108,tt0213149,5,NA,NA,NA
1108,tt1657301,5,NA,NA,NA
1108,tt2096673,5,NA,NA,NA
1108,tt0114148,5,NA,NA,NA
1108,tt0110357,5,NA,NA,NA
1108,tt0462538,5,NA,NA,NA
1020,tt1190080,4,NA,NA,NA
1020,tt3254460,3,NA,NA,NA
1020,tt0319262,4,NA,NA,NA
1020,tt3793764,3,NA,NA,NA
1020,tt0800369,3,NA,NA,NA
1020,tt0268380,3,NA,NA,NA
1020,tt0441773,3,NA,NA,NA
1020,tt1453405,3,NA,NA,NA
1020,tt0114148,3,NA,NA,NA
1020,tt0110357,4,NA,NA,NA
1020,tt0382625,4,NA,NA,NA
1020,tt0147800,5,NA,NA,NA
1020,tt1041829,2,NA,NA,NA
1020,tt0120338,4,NA,NA,NA
1020,tt0454876,2,NA,NA,NA
1020,tt3637328,2,NA,NA,NA
1020,tt0266543,3,NA,NA,NA
1020,tt2251217,2,NA,NA,NA
1020,tt4052394,1,NA,NA,NA
1003,tt0454876,3,NA,NA,NA
1003,tt0120912,4,NA,NA,NA
1003,tt3793764,3,NA,NA,NA
1003,tt0114148,1,NA,NA,NA
1003,tt0110357,1,NA,NA,NA
1003,tt0109830,3,NA,NA,NA
1003,tt1707386,4,NA,NA,NA
1003,tt0120338,4,NA,NA,NA
1003,tt0088763,2,NA,NA,NA
1003,tt0133093,4,NA,NA,NA
1003,tt1099212,3,NA,NA,NA
1003,tt0462538,1,NA,NA,NA
1003,tt0378194,1,NA,NA,NA
1003,tt1291150,1,NA,NA,NA
1003,tt0454876,1,Weekday,Cinema,Alone
1003,tt0120912,1,Weekday,Cinema,Alone
1003,tt3793764,1,Weekday,Cinema,Alone
1003,tt0114148,1,Weekday,Cinema,Alone
1003,tt0110357,1,Weekday,Cinema,Alone
1003,tt0109830,1,Weekday,Cinema,Alone
1003,tt1707386,1,Weekday,Cinema,Alone
1003,tt0120338,1,Weekday,Cinema,Alone
1003,tt0088763,1,Weekday,Cinema,Alone
1003,tt0133093,1,Weekday,Cinema,Alone
1003,tt1099212,1,Weekday,Cinema,Alone
1003,tt0454876,1,Weekday,Home,Family
1003,tt0120912,1,Weekday,Home,Family
1003,tt3793764,1,Weekday,Home,Family
1003,tt0114148,1,Weekday,Home,Family
1003,tt0110357,1,Weekday,Home,Family
1003,tt0109830,1,Weekday,Home,Family
1003,tt1707386,1,Weekday,Home,Family
1003,tt0120338,1,Weekday,Home,Family
1003,tt0088763,1,Weekday,Home,Family
1003,tt0133093,1,Weekday,Home,Family
1003,tt1099212,1,Weekday,Home,Family
1003,tt0462538,1,Weekday,Home,Alone
1003,tt0378194,1,Weekday,Home,Alone
1003,tt1291150,1,Weekday,Home,Alone
1003,tt0462538,1,Weekday,Home,Family
1003,tt0378194,1,Weekday,Home,Family
1003,tt1291150,1,Weekday,Home,Family
1019,tt0454876,5,NA,NA,NA
1019,tt0319262,5,NA,NA,NA
1019,tt0266543,5,NA,NA,NA
1019,tt0268380,5,NA,NA,NA
1019,tt0110357,5,NA,NA,NA
1019,tt0114369,5,NA,NA,NA
1019,tt0088763,5,NA,NA,NA
1019,tt1375666,5,NA,NA,NA
1019,tt0945513,5,NA,NA,NA
1019,tt0133093,5,NA,NA,NA
1019,tt1055369,4,NA,NA,NA
1019,tt0454848,3,NA,NA,NA
1019,tt0378194,3,NA,NA,NA
1019,tt0944835,3,NA,NA,NA
1046,tt0378194,3,NA,NA,NA
1046,tt0111161,3,NA,NA,NA
1046,tt3510098,4,NA,NA,NA
1046,tt1375666,4,NA,NA,NA
1046,tt0110475,2,NA,NA,NA
1046,tt0413267,1,NA,NA,NA
1046,tt0362165,1,NA,NA,NA
1046,tt1291150,1,NA,NA,NA
1046,tt0378194,1,Weekday,Home,Alone
1046,tt0111161,1,Weekday,Home,Alone
1046,tt3510098,1,Weekday,Home,Alone
1046,tt1375666,1,Weekday,Home,Alone
1046,tt0110475,1,Weekday,Home,Alone
1046,tt0378194,2,Weekday,Cinema,Alone
1046,tt0111161,3,Weekday,Cinema,Alone
1046,tt3510098,2,Weekday,Cinema,Alone
1046,tt1375666,3,Weekday,Cinema,Alone
1046,tt0110475,3,Weekday,Cinema,Alone
1046,tt0378194,2,Weekend,Home,Partner
1046,tt0111161,2,Weekend,Home,Partner
1046,tt3510098,2,Weekend,Home,Partner
1046,tt1375666,3,Weekend,Home,Partner
1046,tt0110475,3,Weekend,Home,Partner
1046,tt0413267,2,Weekend,Cinema,Alone
1046,tt0362165,2,Weekend,Cinema,Alone
1046,tt1291150,2,Weekend,Cinema,Alone
1046,tt0413267,2,Weekday,Home,Family
1046,tt0362165,3,Weekday,Home,Family
1046,tt1291150,2,Weekday,Home,Family
1046,tt0413267,3,Weekend,Cinema,Family
1046,tt0362165,2,Weekend,Cinema,Family
1046,tt1291150,1,Weekend,Cinema,Family
1067,tt0356910,3,NA,NA,NA
1067,tt3793764,4,NA,NA,NA
1067,tt0111161,4,NA,NA,NA
1067,tt0120338,5,NA,NA,NA
1067,tt1099212,5,NA,NA,NA
1067,tt0462538,1,NA,NA,NA
1067,tt0378194,1,NA,NA,NA
1067,tt1632708,1,NA,NA,NA
1067,tt0356910,1,Weekday,Cinema,Partner
1067,tt3793764,1,Weekday,Cinema,Partner
1067,tt0111161,1,Weekday,Cinema,Partner
1067,tt0120338,1,Weekday,Cinema,Partner
1067,tt1099212,1,Weekday,Cinema,Partner
1067,tt0356910,4,Weekend,Cinema,Partner
1067,tt3793764,5,Weekend,Cinema,Partner
1067,tt0111161,2,Weekend,Cinema,Partner
1067,tt0120338,2,Weekend,Cinema,Partner
1067,tt1099212,1,Weekend,Cinema,Partner
1067,tt0356910,5,Weekend,Home,Partner
1067,tt3793764,5,Weekend,Home,Partner
1067,tt0111161,5,Weekend,Home,Partner
1067,tt0120338,5,Weekend,Home,Partner
1067,tt1099212,2,Weekend,Home,Partner
1067,tt0462538,1,Weekend,Cinema,Family
1067,tt0378194,1,Weekend,Cinema,Family
1067,tt1632708,1,Weekend,Cinema,Family
1067,tt0462538,1,Weekday,Cinema,Partner
1067,tt0378194,2,Weekday,Cinema,Partner
1067,tt1632708,1,Weekday,Cinema,Partner
1067,tt0462538,1,Weekend,Cinema,Partner
1067,tt0378194,1,Weekend,Cinema,Partner
1067,tt1632708,1,Weekend,Cinema,Partner
1018,tt0110357,4,NA,NA,NA
1018,tt0111161,5,NA,NA,NA
1018,tt0169547,5,NA,NA,NA
1018,tt0367594,5,NA,NA,NA
1018,tt0133093,5,NA,NA,NA
1018,tt0120338,1,NA,NA,NA
1018,tt1291150,1,NA,NA,NA
1018,tt1099212,1,NA,NA,NA
1018,tt0110357,4,Weekend,Home,Family
1018,tt0111161,5,Weekend,Home,Family
1018,tt0169547,4,Weekend,Home,Family
1018,tt0367594,5,Weekend,Home,Family
1018,tt0133093,3,Weekend,Home,Family
1018,tt0110357,4,Weekday,Cinema,Partner
1018,tt0111161,5,Weekday,Cinema,Partner
1018,tt0169547,5,Weekday,Cinema,Partner
1018,tt0367594,5,Weekday,Cinema,Partner
1018,tt0133093,5,Weekday,Cinema,Partner
1018,tt0120338,1,Weekend,Home,Alone
1018,tt1291150,1,Weekend,Home,Alone
1018,tt1099212,1,Weekend,Home,Alone
1018,tt0120338,1,Weekend,Home,Family
1018,tt1291150,1,Weekend,Home,Family
1018,tt1099212,1,Weekend,Home,Family
1007,tt0319262,5,NA,NA,NA
1007,tt0441773,5,NA,NA,NA
1007,tt0232500,4,NA,NA,NA
1007,tt0343660,3,NA,NA,NA
1007,tt1055369,4,NA,NA,NA
1007,tt1190080,2,NA,NA,NA
1007,tt3254460,1,NA,NA,NA
1007,tt2574698,1,NA,NA,NA
1007,tt0319262,5,Weekday,Home,Family
1007,tt0441773,5,Weekday,Home,Family
1007,tt0232500,5,Weekday,Home,Family
1007,tt0343660,4,Weekday,Home,Family
1007,tt1055369,5,Weekday,Home,Family
1007,tt0319262,5,Weekend,Home,Family
1007,tt0441773,5,Weekend,Home,Family
1007,tt0232500,5,Weekend,Home,Family
1007,tt0343660,4,Weekend,Home,Family
1007,tt1055369,5,Weekend,Home,Family
1007,tt1190080,1,Weekday,Home,Alone
1007,tt3254460,1,Weekday,Home,Alone
1007,tt2574698,1,Weekday,Home,Alone
1007,tt1190080,1,Weekday,Cinema,Family
1007,tt3254460,1,Weekday,Cinema,Family
1007,tt2574698,1,Weekday,Cinema,Family
1009,tt0454876,4,NA,NA,NA
1009,tt0181689,5,NA,NA,NA
1009,tt1453405,5,NA,NA,NA
1009,tt0993846,4,NA,NA,NA
1009,tt0211915,5,NA,NA,NA
1009,tt3637328,2,NA,NA,NA
1009,tt3793764,2,NA,NA,NA
1009,tt1099212,1,NA,NA,NA
1009,tt0454876,4,Weekday,Cinema,Partner
1009,tt0181689,4,Weekday,Cinema,Partner
1009,tt1453405,5,Weekday,Cinema,Partner
1009,tt0993846,4,Weekday,Cinema,Partner
1009,tt0211915,5,Weekday,Cinema,Partner
1009,tt0454876,4,Weekend,Cinema,Partner
1009,tt0181689,5,Weekend,Cinema,Partner
1009,tt1453405,5,Weekend,Cinema,Partner
1009,tt0993846,4,Weekend,Cinema,Partner
1009,tt0211915,5,Weekend,Cinema,Partner
1009,tt3637328,2,Weekend,Home,Family
1009,tt3793764,2,Weekend,Home,Family
1009,tt1099212,1,Weekend,Home,Family
1009,tt3637328,2,Weekend,Cinema,Partner
1009,tt3793764,2,Weekend,Cinema,Partner
1009,tt1099212,1,Weekend,Cinema,Partner
1048,tt1190080,4,NA,NA,NA
1048,tt1369829,4,NA,NA,NA
1048,tt0454876,4,NA,NA,NA
1048,tt0181689,4,NA,NA,NA
1048,tt0120912,4,NA,NA,NA
1048,tt0356910,3,NA,NA,NA
1048,tt3637328,3,NA,NA,NA
1048,tt0213149,5,NA,NA,NA
1048,tt1190080,4,Weekday,Home,Family
1048,tt1369829,4,Weekday,Home,Family
1048,tt0454876,5,Weekday,Home,Family
1048,tt0181689,3,Weekday,Home,Family
1048,tt0120912,4,Weekday,Home,Family
1048,tt1190080,2,Weekend,Cinema,Partner
1048,tt1369829,3,Weekend,Cinema,Partner
1048,tt0454876,3,Weekend,Cinema,Partner
1048,tt0181689,3,Weekend,Cinema,Partner
1048,tt0120912,4,Weekend,Cinema,Partner
1048,tt0356910,3,Weekend,Cinema,Family
1048,tt3637328,3,Weekend,Cinema,Family
1048,tt0213149,4,Weekend,Cinema,Family
1048,tt0356910,3,Weekend,Home,Partner
1048,tt3637328,3,Weekend,Home,Partner
1048,tt0213149,4,Weekend,Home,Partner
1057,tt1637706,3,NA,NA,NA
1057,tt0378194,4,NA,NA,NA
1057,tt0376541,5,NA,NA,NA
1057,tt0088763,5,NA,NA,NA
1057,tt0133093,5,NA,NA,NA
1057,tt0120912,1,NA,NA,NA
1057,tt4411490,1,NA,NA,NA
1057,tt0362165,1,NA,NA,NA
1057,tt0343660,1,NA,NA,NA
1057,tt0816199,1,NA,NA,NA
1057,tt1637706,2,Weekend,Cinema,Family
1057,tt0378194,3,Weekend,Cinema,Family
1057,tt0376541,1,Weekend,Cinema,Family
1057,tt0088763,5,Weekend,Cinema,Family
1057,tt0133093,4,Weekend,Cinema,Family
1057,tt1637706,2,Weekday,Cinema,Partner
1057,tt0378194,5,Weekday,Cinema,Partner
1057,tt0376541,1,Weekday,Cinema,Partner
1057,tt0088763,4,Weekday,Cinema,Partner
1057,tt0133093,3,Weekday,Cinema,Partner
1057,tt1637706,2,Weekend,Cinema,Partner
1057,tt0378194,4,Weekend,Cinema,Partner
1057,tt0376541,1,Weekend,Cinema,Partner
1057,tt0088763,3,Weekend,Cinema,Partner
1057,tt0133093,5,Weekend,Cinema,Partner
1057,tt0120912,1,Weekend,Home,Family
1057,tt4411490,1,Weekend,Home,Family
1057,tt0362165,1,Weekend,Home,Family
1057,tt0343660,1,Weekend,Home,Family
1057,tt0816199,1,Weekend,Home,Family
1057,tt0120912,1,Weekday,Cinema,Family
1057,tt4411490,1,Weekday,Cinema,Family
1057,tt0362165,1,Weekday,Cinema,Family
1057,tt0343660,1,Weekday,Cinema,Family
1057,tt0816199,1,Weekday,Cinema,Family
1057,tt0120912,1,Weekend,Cinema,Family
1057,tt4411490,1,Weekend,Cinema,Family
1057,tt0362165,1,Weekend,Cinema,Family
1057,tt0343660,1,Weekend,Cinema,Family
1057,tt0816199,1,Weekend,Cinema,Family
1030,tt0454876,4,NA,NA,NA
1030,tt3793764,3,NA,NA,NA
1030,tt0268380,5,NA,NA,NA
1030,tt0138097,5,NA,NA,NA
1030,tt3510098,4,NA,NA,NA
1030,ttnanana1,2,NA,NA,NA
1030,tt0993846,2,NA,NA,NA
1030,tt0110475,1,NA,NA,NA
1030,tt0454876,2,Weekday,Home,Alone
1030,tt3793764,4,Weekday,Home,Alone
1030,tt0268380,5,Weekday,Home,Alone
1030,tt0138097,2,Weekday,Home,Alone
1030,tt3510098,5,Weekday,Home,Alone
1030,tt0454876,2,Weekday,Cinema,Family
1030,tt3793764,2,Weekday,Cinema,Family
1030,tt0268380,5,Weekday,Cinema,Family
1030,tt0138097,3,Weekday,Cinema,Family
1030,tt3510098,5,Weekday,Cinema,Family
1030,tt0454876,5,Weekday,Home,Partner
1030,tt3793764,2,Weekday,Home,Partner
1030,tt0268380,3,Weekday,Home,Partner
1030,tt0138097,5,Weekday,Home,Partner
1030,tt3510098,3,Weekday,Home,Partner
1030,ttnanana1,1,Weekday,Home,Alone
1030,tt0993846,1,Weekday,Home,Alone
1030,tt0110475,1,Weekday,Home,Alone
1030,ttnanana1,1,Weekend,Home,Alone
1030,tt0993846,1,Weekend,Home,Alone
1030,tt0110475,1,Weekend,Home,Alone
1030,ttnanana1,1,Weekend,Cinema,Family
1030,tt0993846,1,Weekend,Cinema,Family
1030,tt0110475,1,Weekend,Cinema,Family
1094,tt1369829,5,NA,NA,NA
1094,tt0181689,5,NA,NA,NA
1094,tt0120912,4,NA,NA,NA
1094,tt0356910,3,NA,NA,NA
1094,tt1657301,5,NA,NA,NA
1094,tt3793764,4,NA,NA,NA
1094,tt0462538,4,NA,NA,NA
1094,tt1232829,5,NA,NA,NA
1094,ttnanana1,3,NA,NA,NA
1094,tt0405422,5,NA,NA,NA
1094,tt1596343,4,NA,NA,NA
1094,tt0114369,5,NA,NA,NA
1094,tt0232500,4,NA,NA,NA
1094,tt0293662,5,NA,NA,NA
1094,tt0169547,4,NA,NA,NA
1094,tt1478338,5,NA,NA,NA
1094,tt1375666,5,NA,NA,NA
1094,tt0289879,5,NA,NA,NA
1094,tt0133093,4,NA,NA,NA
1094,tt0382625,2,NA,NA,NA
1094,tt1133985,2,NA,NA,NA
1094,ttnanana2,2,NA,NA,NA
1107,tt1190080,4,NA,NA,NA
1107,tt1657301,4,NA,NA,NA
1107,tt0413267,3,NA,NA,NA
1107,tt1232829,3,NA,NA,NA
1107,tt1632708,5,NA,NA,NA
1107,tt0120338,5,NA,NA,NA
1107,tt2557490,1,NA,NA,NA
1107,tt1499658,1,NA,NA,NA
1107,tt0343660,1,NA,NA,NA
1107,tt1190080,4,Weekend,Cinema,Alone
1107,tt1657301,4,Weekend,Cinema,Alone
1107,tt0413267,3,Weekend,Cinema,Alone
1107,tt1232829,4,Weekend,Cinema,Alone
1107,tt1632708,5,Weekend,Cinema,Alone
1107,tt0120338,5,Weekend,Cinema,Alone
1107,tt1190080,1,Weekend,Cinema,Partner
1107,tt1657301,3,Weekend,Cinema,Partner
1107,tt0413267,1,Weekend,Cinema,Partner
1107,tt1232829,3,Weekend,Cinema,Partner
1107,tt1632708,3,Weekend,Cinema,Partner
1107,tt0120338,2,Weekend,Cinema,Partner
1107,tt1190080,3,Weekend,Home,Partner
1107,tt1657301,2,Weekend,Home,Partner
1107,tt0413267,2,Weekend,Home,Partner
1107,tt1232829,3,Weekend,Home,Partner
1107,tt1632708,2,Weekend,Home,Partner
1107,tt0120338,2,Weekend,Home,Partner
1107,tt2557490,1,Weekend,Cinema,Alone
1107,tt1499658,1,Weekend,Cinema,Alone
1107,tt0343660,2,Weekend,Cinema,Alone
1107,tt2557490,2,Weekend,Cinema,Partner
1107,tt1499658,2,Weekend,Cinema,Partner
1107,tt0343660,2,Weekend,Cinema,Partner
1107,tt2557490,1,Weekday,Home,Partner
1107,tt1499658,1,Weekday,Home,Partner
1107,tt0343660,1,Weekday,Home,Partner
1066,tt0120912,4,NA,NA,NA
1066,tt1657301,5,NA,NA,NA
1066,tt0211915,5,NA,NA,NA
1066,tt1478338,4,NA,NA,NA
1066,tt0133093,5,NA,NA,NA
1066,tt4411490,1,NA,NA,NA
1066,tt0232500,1,NA,NA,NA
1066,tt0993846,1,NA,NA,NA
1066,tt1707386,2,NA,NA,NA
1066,tt4052394,1,NA,NA,NA
1066,tt0120912,5,Weekend,Home,Family
1066,tt1657301,2,Weekend,Home,Family
1066,tt0211915,1,Weekend,Home,Family
1066,tt1478338,1,Weekend,Home,Family
1066,tt0133093,2,Weekend,Home,Family
1066,tt0120912,5,Weekday,Cinema,Family
1066,tt1657301,2,Weekday,Cinema,Family
1066,tt0211915,1,Weekday,Cinema,Family
1066,tt1478338,1,Weekday,Cinema,Family
1066,tt0133093,2,Weekday,Cinema,Family
1066,tt0120912,5,Weekday,Home,Partner
1066,tt1657301,5,Weekday,Home,Partner
1066,tt0211915,4,Weekday,Home,Partner
1066,tt1478338,4,Weekday,Home,Partner
1066,tt0133093,5,Weekday,Home,Partner
1066,tt4411490,1,Weekday,Cinema,Family
1066,tt0232500,1,Weekday,Cinema,Family
1066,tt0993846,1,Weekday,Cinema,Family
1066,tt1707386,1,Weekday,Cinema,Family
1066,tt4052394,2,Weekday,Cinema,Family
1066,tt4411490,1,Weekend,Cinema,Family
1066,tt0232500,1,Weekend,Cinema,Family
1066,tt0993846,1,Weekend,Cinema,Family
1066,tt1707386,1,Weekend,Cinema,Family
1066,tt4052394,2,Weekend,Cinema,Family
1066,tt4411490,1,Weekday,Home,Partner
1066,tt0232500,1,Weekday,Home,Partner
1066,tt0993846,1,Weekday,Home,Partner
1066,tt1707386,2,Weekday,Home,Partner
1066,tt4052394,2,Weekday,Home,Partner
1122,tt0319262,4,NA,NA,NA
1122,tt0441773,3,NA,NA,NA
1122,tt2557490,3,NA,NA,NA
1122,tt0120338,5,NA,NA,NA
1122,tt4052394,4,NA,NA,NA
1122,tt0293662,2,NA,NA,NA
1122,tt0147800,1,NA,NA,NA
1122,tt1099212,2,NA,NA,NA
1122,tt0319262,3,Weekend,Cinema,Alone
1122,tt0441773,4,Weekend,Cinema,Alone
1122,tt2557490,3,Weekend,Cinema,Alone
1122,tt0120338,5,Weekend,Cinema,Alone
1122,tt4052394,5,Weekend,Cinema,Alone
1122,tt0319262,3,Weekday,Cinema,Family
1122,tt0441773,4,Weekday,Cinema,Family
1122,tt2557490,3,Weekday,Cinema,Family
1122,tt0120338,2,Weekday,Cinema,Family
1122,tt4052394,5,Weekday,Cinema,Family
1122,tt0319262,5,Weekend,Cinema,Partner
1122,tt0441773,3,Weekend,Cinema,Partner
1122,tt2557490,4,Weekend,Cinema,Partner
1122,tt0120338,5,Weekend,Cinema,Partner
1122,tt4052394,3,Weekend,Cinema,Partner
1122,tt0293662,2,Weekend,Cinema,Alone
1122,tt0147800,2,Weekend,Cinema,Alone
1122,tt1099212,2,Weekend,Cinema,Alone
1122,tt0293662,2,Weekday,Cinema,Family
1122,tt0147800,1,Weekday,Cinema,Family
1122,tt1099212,1,Weekday,Cinema,Family
1122,tt0293662,2,Weekend,Cinema,Partner
1122,tt0147800,1,Weekend,Cinema,Partner
1122,tt1099212,1,Weekend,Cinema,Partner
1074,tt0356910,4,NA,NA,NA
1074,tt1657301,4,NA,NA,NA
1074,tt2251217,4,NA,NA,NA
1074,tt0114369,4,NA,NA,NA
1074,tt0993846,4,NA,NA,NA
1074,tt1375666,4,NA,NA,NA
1074,tt0213149,1,NA,NA,NA
1074,tt0343660,1,NA,NA,NA
1074,tt1564367,2,NA,NA,NA
1074,tt1041829,1,NA,NA,NA
1074,tt0356910,3,Weekday,Cinema,Alone
1074,tt1657301,5,Weekday,Cinema,Alone
1074,tt2251217,2,Weekday,Cinema,Alone
1074,tt0114369,3,Weekday,Cinema,Alone
1074,tt0993846,4,Weekday,Cinema,Alone
1074,tt1375666,4,Weekday,Cinema,Alone
1074,tt0356910,3,Weekday,Cinema,Family
1074,tt1657301,4,Weekday,Cinema,Family
1074,tt2251217,1,Weekday,Cinema,Family
1074,tt0114369,3,Weekday,Cinema,Family
1074,tt0993846,1,Weekday,Cinema,Family
1074,tt1375666,4,Weekday,Cinema,Family
1074,tt0356910,4,Weekday,Cinema,Partner
1074,tt1657301,3,Weekday,Cinema,Partner
1074,tt2251217,4,Weekday,Cinema,Partner
1074,tt0114369,1,Weekday,Cinema,Partner
1074,tt0993846,1,Weekday,Cinema,Partner
1074,tt1375666,4,Weekday,Cinema,Partner
1074,tt0213149,1,Weekend,Home,Alone
1074,tt0343660,1,Weekend,Home,Alone
1074,tt1564367,1,Weekend,Home,Alone
1074,tt1041829,1,Weekend,Home,Alone
1074,tt0213149,3,Weekend,Cinema,Family
1074,tt0343660,2,Weekend,Cinema,Family
1074,tt1564367,1,Weekend,Cinema,Family
1074,tt1041829,1,Weekend,Cinema,Family
1074,tt0213149,1,Weekend,Cinema,Partner
1074,tt0343660,1,Weekend,Cinema,Partner
1074,tt1564367,1,Weekend,Cinema,Partner
1074,tt1041829,1,Weekend,Cinema,Partner
1040,tt0454876,4,NA,NA,NA
1040,tt1657301,4,NA,NA,NA
1040,tt0266543,5,NA,NA,NA
1040,tt1232829,2,NA,NA,NA
1040,tt0111161,5,NA,NA,NA
1040,tt0211915,4,NA,NA,NA
1040,tt0319262,1,NA,NA,NA
1040,tt0114148,1,NA,NA,NA
1040,ttnanana1,1,NA,NA,NA
1040,tt0454876,4,Weekend,Cinema,Alone
1040,tt1657301,4,Weekend,Cinema,Alone
1040,tt0266543,4,Weekend,Cinema,Alone
1040,tt1232829,3,Weekend,Cinema,Alone
1040,tt0111161,4,Weekend,Cinema,Alone
1040,tt0211915,3,Weekend,Cinema,Alone
1040,tt0454876,4,Weekend,Cinema,Family
1040,tt1657301,4,Weekend,Cinema,Family
1040,tt0266543,5,Weekend,Cinema,Family
1040,tt1232829,2,Weekend,Cinema,Family
1040,tt0111161,3,Weekend,Cinema,Family
1040,tt0211915,2,Weekend,Cinema,Family
1040,tt0454876,3,Weekday,Cinema,Partner
1040,tt1657301,5,Weekday,Cinema,Partner
1040,tt0266543,4,Weekday,Cinema,Partner
1040,tt1232829,3,Weekday,Cinema,Partner
1040,tt0111161,3,Weekday,Cinema,Partner
1040,tt0211915,4,Weekday,Cinema,Partner
1040,tt0319262,1,Weekend,Home,Family
1040,tt0114148,1,Weekend,Home,Family
1040,ttnanana1,1,Weekend,Home,Family
1040,tt0319262,1,Weekday,Cinema,Partner
1040,tt0114148,1,Weekday,Cinema,Partner
1040,ttnanana1,1,Weekday,Cinema,Partner
1040,tt0319262,1,Weekday,Home,Partner
1040,tt0114148,1,Weekday,Home,Partner
1040,ttnanana1,1,Weekday,Home,Partner
1059,tt0114369,4,NA,NA,NA
1059,tt0382625,3,NA,NA,NA
1059,tt0993846,4,NA,NA,NA
1059,tt0211915,3,NA,NA,NA
1059,tt0169547,3,NA,NA,NA
